input_text,target_text
"The worldwide decline in honeybee colonies during the past 50 years has often been linked to the spread of the parasitic mite Varroa destructor and its interaction with certain honeybee viruses. Recently in the United States, dramatic honeybee losses (colony collapse disorder) have been reported; however, there remains no clear explanation for these colony losses, with parasitic mites, viruses, bacteria, and fungal diseases all being proposed as possible candidates. Common characteristics that most failing colonies share is a lack of overt disease symptoms and the disappearance of workers from what appears to be normally functioning colonies. In this study, we used quantitative PCR to monitor the presence of three honeybee viruses, deformed wing virus (DWV), acute bee paralysis virus (ABPV), and black queen cell virus (BQCV), during a 1-year period in 15 asymptomatic, varroa mite-positive honeybee colonies in Southern England, and 3 asymptomatic colonies confirmed to be varroa mite free. All colonies with varroa mites underwent control treatments to ensure that mite populations remained low throughout the study. Despite this, multiple virus infections were detected, yet a significant correlation was observed only between DWV viral load and overwintering colony losses. The long-held view has been that DWV is relatively harmless to the overall health status of honeybee colonies unless it is in association with severe varroa mite infestations. Our findings suggest that DWV can potentially act independently of varroa mites to bring about colony losses. Therefore, DWV may be a major factor in overwintering colony losses.","quantitative pcr, risk factors, viral load, epidemiology, disease prevalence"
"Worldwide, almost all state-owned enterprises (SOEs) face a critical choice: whether and when to privatize. An SOE's privatization choice is often complicated by the unique characteristics of transition economies. While market economies feature clearly defined and relatively stable rules of market competition and property rights, in transition economies these factors are evolving and uncertain. In this paper, we first distinguish between macro (economy-level) privatization and micro (firm-level) privatization, and then develop an optimal timing model for firm privatization, taking into consideration a number of important parameters, such as costs, pre- and postprivatization performance, uncertainty, risk considerations, and speed of postprivatization adjustment. We show that the choice of whether and when to privatize is a function of these parameters, which are in turn influenced by both external conditions and firm characteristics.","transition economies, mathematical models, privatization strategies, mathematical model, property rights, market economy"
"COVAMOF is a variability management framework for product families that was developed to reduce the number of iterations required during product derivation and to reduce the dependency on experts. In this paper, we present the results of an experiment with COVAMOF in industry. The results show that with COVAMOF, engineers that are not involved in the product family were now capable of deriving the products in 100% of the cases, compared to 29% of the cases without COVAMOF. For experts, the use of COVAMOF reduced the number of iterations by 42%, and the total derivation time by 38%.","product family engineering, industrial validation, variability management framework, software variability management, total derivation time, product derivation, product family"
"Over the years, Software Engineering has provided software developers with a number of significant innovations that have changed the way we conceive and develop software. This tremendous growth has made it possible the development and operation of extremely complex applications such as air traffic control systems, worldwide airline reservation services, avionics and company-wide information systems. Despite this indisputable success, there are important issues and difficulties that we as researchers and practitioners should take into account to further promote the development of the Software Engineering discipline. They are related to the approach and the attitude we adopt in carrying out our research work. This paper briefly discusses some issues particularly critical to address the limitations and difficulties we are facing. The paper does not have the ambition of being complete and comprehensive. Nor does it propose precise solutions, which indeed require the committed and collective effort of the entire Software Engineering community. It just aims at proposing some arguments and observations for stimulating the discussion and reflection on the future of Software Engineering research.","software engineering research, information system, software development, air traffic control, software engineering"
"Phage libraries can display repertoires of antibodies which are greater in number than the mammalian immune response. However, the selected antibodies often have low binding affinity to their target antigen or hapten (KD below 10(-6) M), which is characteristic of the primary immune repertoire. There is a need for procedures to mimic somatic hypermutation through antigen driven affinity maturation, thereby increasing the affinity of selected immunoglobulins.To investigate the effectiveness of mutation and affinity selection of recombinant antibody genes with mutator E. coli cells, incorporating phage-display strategies.Unique human scFvs were selected from a naive Fd-phage library. These genes were mutated by propagation in mutD5 mutator E. coli cells (mutD5-FIT) which were competent for Fd (M13) based phagemid transfections and generated point mutations (transversions and transitions) in the scFv genes. Individual phage-displayed scFvs were affinity selected from the mutation library and were assayed as soluble scFvs by ELISA and BIAcore for binding to antigen.The in vivo mutation of phage-displayed scFvs in E. coli mutD5-FIT, combined with affinity selection against antigen, produced scFv molecules with improved binding activity. The point mutations which resulted in single amino acid substitutions frequently produced ten fold increases in apparent binding affinity. Structural comparisons revealed that these point mutations were in framework regions (adjacent to the CDRs) and within the CDRs. In one case the apparent affinity of an anti-glycophorin scFv after mutation in the VL framework region close to CDR3 increased by 10(3). However, this increase in apparent affinity was accompanied by an increased propensity to dimerise and form aggregates.A strategy for the rapid affinity maturation of scFv and Fab antibody fragments has been developed which utilises mutator strains of E. coli and incorporates phage display of antibody repertoires (libraries).","escherichia coli, phage display, glycophorin, expression"
"At national, state, and local levels, there is increasing recognition of the importance of identifying and responding to the mental health needs of youths in the juvenile justice system, as policymakers and practitioners struggle to find ways to address causes and correlates of juvenile crime and delinquency. The proposed guidelines for mental health assessment provide explicit information about how, why, and when to obtain mental health information on justice youths at each important juncture in processing.A national group of expert researchers and practitioners convened in April 2002. Experts derived six recommendations, following the expert consensus method, for conducting mental health assessments in juvenile justice settings. Experts had broad experience creating collaborations between juvenile justice, mental health, and child welfare systems and understood the policy and health implications of conducting such assessments in juvenile justice settings.Consensus Conference recommendations regarding screening for emergent risk, screening and assessment of mental health service needs, comprehensive mental health assessment components, assessment before community re-entry, need for periodic reassessment, and staff training are presented.Deriving specific recommendations that can be implemented systematically is a necessary first step toward policy changes that will optimize the standard of care for this vulnerable population.","best practices., screening, consensus conference, best practices, juvenile justice, assessment, 427:752-761. key words: juvenile justice, best practice, mental health"
"In this article, I argue that roles are a key construct for CSCL that demonstrate the interdisciplinary strengths of CSCL as a field. CSCL is a problem-driven field with a history of incorporating different paradigms, and has the advantage of using a design stance to understand phenomena like collaboration and learning that are difficult to study. Roles are understood differently by different disciplines, but the concept of roles serves as a boundary object between the different disciplines within CSCL and highlights potential areas for research.","Roles, Scripting, CSCL, Design-based research methods"
"Algal chlorophyll content and chlorophyll type ratios, as biomarkers of stress, were investigated. Ulva intestinalis and Sargassum angustifolium were sampled at low tide, in the intertidal zone of Bushehr Province in January and May, 2010. The mean concentrations of metals in the algae were in the following order: Pb > Ni > Cu > Cd. High negative correlations between chlorophyll a content (r = -0.84, p < 0.01), chlorophyll c content (r = -0.82, p < 0.01), and ratio of chlorophyll c/a in S. angustifolium (r = -0.93, p < 0.001) and Ni concentration in this algae shows that both the content and ratio of chlorophyll may clearly reflect a negative effect of high metal concentrations in this algae.","Seaweed, Metal, Chlorophyll, Biomarker, Persian Gulf, Iran"
"The component's interaction points with the external world play a fundamental role in the specification of an application's architecture. Current software architecture approaches consider an interaction point as an atomic element in the specification of interconnections, despite the complexity of its structure and the attached behavior. It is not possible in current component models to deal separately with an element of an interaction point when such an element is needed alone for specifying a specific logic. To support such logic and the specification of a wide range of early ideas in the process of elaborating a software system, the Integrated Approach to Software Architecture (IASA) uses an interaction point model which provides facilities to manipulate any structural or behavioral element defining an interaction point. In addition, such facilities represent the fundamental foundation of the native support by IASA of Aspect Oriented Software Architectures (AOSA) specifications.","aspect oriented software architectures, fundamental role, software architecture, atomic element, aspect, fundamental foundation, current component model, interaction point, interaction point model, new approach, access points, behavioral element, port, current software architecture approach, archjava, port modeling, component, software systems, component model"
"This experimental project investigates and validates an innovative method to confine the potential plastic hinge zone of hot-rolled H-shape (or wide-flange) steel column for improved seismic behavior. Based on fundamental mechanics, the concept aims at controlling the local buckling of the flange and web elements of the H-shape steel in the potential plastic hinge region of a column. In the experimental program, six model columns were tested under constant axial load and cyclic lateral forces acting in either the weak or the strong axes. Compared with the conventional H-shape steel model columns, the model columns with their potential plastic hinge zone confined by either steel strips or reinforced concrete cover, exhibited excellent seismic performance with large ductility. Analytical efforts to compare with the test results were also made using simple moment-curvature analysis.","seismic behavior, ductility, cyclic loading, local buckling, energy dissipation, hot-rolled h-shape steel, confinement"
